,Year,week,ILI_weeks,a_influenza,acute_bronchitis,body_temperature,braun_thermoscan,break_a_fever,bronchitis,chest_cold,cold_and_flu,cold_or_flu,cold_versus_flu,cold_vs_flu,contagious_flu,cough_fever,cure_flu,cure_the_flu,dangerous_fever,do_i_have_the_flu,ear_thermometer,early_flu_symptoms,expectorant,exposed_to_flu,fever_cough,fever_flu,fever_reducer,fight_the_flu,flu_and_cold,flu_and_fever,flu_care,flu_children,flu_complications,flu_contagious_period,flu_contagious,flu_cough,flu_duration,flu_fever,flu_germs,flu_headache,flu_how_long,flu_in_children,flu_incubation_period,flu_incubation,flu_lasts,flu_length,flu_medicine,flu_or_cold,flu_recovery,flu_relief,flu_remedies,flu_remedy,flu_report,flu_reports,flu_symptoms,flu_test,flu_treatment,flu_treatments,flu_versus_cold,flu_vs_cold,get_over_the_flu,get_rid_of_the_flu,having_the_flu,high_fever,how_long_contagious,how_long_does_flu_last,how_long_does_the_flu_last,how_long_flu,how_long_is_flu_contagious,how_long_is_the_flu_contagious,how_long_is_the_flu,how_to_get_rid_of_the_flu,how_to_treat_flu,how_to_treat_the_flu,human_temperature,i_have_the_flu,incubation_period_for_flu,incubation_period_for_the_flu,influenza_a_and_b,influenza_a,influenza_contagious,influenza_incubation_period,influenza_incubation,influenza_symptoms,influenza_treatment,influenza_type_a,is_flu_contagious,low_body,medicine_for_flu,medicine_for_the_flu,normal_body_temperature,normal_body,oscillococcinum,over_the_counter_flu_medicine,over_the_counter_flu,painful_cough,pneumonia,rapid_flu,reduce_a_fever,reduce_fever,remedies_for_flu,remedies_for_the_flu,respiratory_flu,robitussin,signs_of_flu,signs_of_the_flu,sinus_infections,sinus,strep_throat,strep,symptoms_of_bronchitis,symptoms_of_flu,symptoms_of_influenza,symptoms_of_pneumonia,symptoms_of_the_flu,taking_temperature,tessalon,the_flu_virus,the_flu,thermoscan,treat_flu,treat_the_flu,treating_flu,treating_the_flu,treatment_for_flu,treatment_for_the_flu,tussin,tussionex,type_a_influenza,upper_respiratory,walking_pneumonia,what_to_do_if_you_have_the_flu,Flu_Visit_Count,ILI_Visit_Count,Unspecified,CDC_Unweighted_ILI,ILI_lagwk1,ILI_lagwk2,ILI_lagwk3,ILI_lagwk4
308,2009,50,WK_50,11,36,56,48,11,39,29,25,18,22,29,9,25,3,3,12,10,51,10,51,9,25,23,13,8,25,33,14,14,11,16,9,26,19,23,20,22,12,15,8,6,32,15,15,18,15,21,17,24,4,2,7,5,9,14,22,29,7,17,14,33,13,14,7,12,4,3,8,11,14,9,67,15,6,6,12,11,2,7,6,8,18,14,5,70,16,12,45,54,38,14,7,21,51,10,28,23,17,17,8,42,10,10,66,59,46,51,37,7,11,35,8,35,37,9,6,45,12,9,14,16,11,12,45,57,14,37,51,7,0.00442,0.00699,0.01544,2.345,2.71435,2.67667,1.98284,1.82749
309,2009,51,WK_51,9,42,53,29,9,37,36,21,23,18,23,10,18,4,8,21,14,44,9,56,6,18,21,14,18,21,28,14,15,9,21,10,21,18,21,6,18,12,15,7,5,11,7,13,23,9,9,15,22,3,1,6,4,10,11,18,23,6,7,17,37,16,10,7,12,7,3,9,12,13,17,47,19,3,10,8,9,2,7,4,8,17,12,8,58,10,8,39,46,30,15,8,19,50,7,24,14,16,16,8,36,7,4,73,60,48,51,31,6,12,34,7,32,33,10,6,35,15,14,10,21,9,15,41,54,12,38,46,13,0.00436,0.00681,0.01545,2.71435,2.67667,1.98284,1.82749,1.92606
310,2009,52,WK_52,5,33,46,52,14,35,35,22,22,25,23,12,26,3,3,23,7,43,11,62,9,26,18,16,8,23,25,13,13,17,22,12,20,24,18,7,22,11,14,6,5,10,10,13,22,4,25,18,15,2,1,6,3,9,5,25,23,11,13,7,38,20,12,7,11,9,8,13,17,17,19,36,13,4,6,5,5,5,7,5,8,9,4,9,61,13,5,35,44,33,13,11,17,45,5,28,20,22,20,11,37,9,10,76,60,46,47,32,5,8,28,5,31,38,3,4,49,18,18,10,17,10,16,38,60,4,37,47,14,0.00405,0.00702,0.01616,2.67667,1.98284,1.82749,1.92606,1.92495
311,2010,1,WK_1,5,48,48,32,9,42,45,24,26,24,29,10,27,4,5,15,9,41,10,54,8,27,18,14,11,24,35,10,9,12,16,10,18,22,18,15,26,10,11,7,5,20,12,11,26,20,21,22,23,2,3,6,3,11,3,24,29,16,12,8,37,17,13,10,10,5,5,7,10,14,11,41,15,7,10,5,5,2,4,3,7,4,4,7,70,13,8,40,46,35,19,12,20,53,7,25,11,18,12,10,45,9,10,89,73,48,49,40,5,6,40,6,38,38,5,4,32,16,10,11,21,9,9,51,87,4,41,48,19,0.00344,0.00627,0.01473,1.98284,1.82749,1.92606,1.92495,2.08877
312,2010,2,WK_2,5,31,57,45,12,43,41,29,20,22,23,9,20,4,5,18,10,32,16,57,4,20,15,18,14,29,20,9,11,6,15,9,17,17,15,4,19,8,11,5,4,12,9,11,20,16,25,18,15,2,1,5,3,9,8,22,23,6,10,13,36,16,11,6,8,5,6,6,7,15,12,54,17,3,5,6,5,4,5,5,9,19,10,6,68,15,9,44,49,34,13,14,18,56,7,18,17,22,17,8,46,7,7,99,74,46,50,40,5,11,41,6,29,39,7,5,44,14,14,16,13,10,20,49,66,10,48,62,15,0.00276,0.00507,0.01241,1.82749,1.92606,1.92495,2.08877,2.03434
313,2010,3,WK_3,7,27,58,64,13,38,36,18,15,15,14,8,19,3,6,13,11,42,7,49,4,19,12,16,12,18,16,5,8,7,9,8,14,17,12,20,15,8,10,4,3,12,8,10,15,11,15,15,16,3,1,4,3,8,5,15,14,11,9,13,33,16,12,4,8,4,5,7,17,11,11,61,9,4,11,10,7,2,5,4,6,11,9,6,68,11,17,45,57,25,8,10,31,50,7,20,20,13,5,8,39,5,7,91,67,47,49,38,4,7,33,4,38,31,7,4,41,9,12,13,11,9,19,30,53,9,39,49,11,0.0028,0.00529,0.0125,1.92606,1.92495,2.08877,2.03434,1.97649
314,2010,4,WK_4,7,26,50,31,10,37,29,15,15,9,14,7,23,3,6,25,7,62,12,48,9,23,14,17,9,15,16,6,7,5,9,8,15,15,14,11,14,8,9,4,3,8,4,8,15,8,15,15,12,1,1,4,3,7,5,9,14,10,11,6,36,15,8,4,8,5,3,6,5,16,16,53,9,4,9,5,7,2,3,5,5,9,4,4,72,8,8,39,49,27,34,10,23,49,3,9,17,10,15,7,39,5,7,79,61,48,53,36,4,5,35,4,31,37,5,3,31,11,18,12,13,6,9,32,56,4,39,46,18,0.00261,0.00543,0.013,1.92495,2.08877,2.03434,1.97649,1.99362
315,2010,5,WK_5,7,37,58,59,15,39,31,16,17,8,14,5,27,2,4,27,7,55,6,43,5,28,14,15,5,16,16,6,7,5,4,5,15,12,14,8,17,7,8,3,3,12,5,9,17,5,23,16,15,1,1,4,2,7,7,8,14,10,9,9,35,15,7,8,7,3,3,5,9,8,11,65,8,2,5,4,7,2,6,5,9,13,9,4,70,10,10,44,57,27,5,11,20,52,7,24,20,17,9,9,36,4,3,81,65,52,54,40,4,4,37,4,42,31,5,3,43,10,12,7,13,7,12,32,49,9,37,51,7,0.00238,0.00534,0.01356,2.08877,2.03434,1.97649,1.99362,1.85383
316,2010,6,WK_6,8,35,58,50,10,41,37,19,14,14,18,7,26,2,5,23,7,40,4,41,6,26,10,14,7,19,12,6,6,8,10,7,11,10,10,8,12,6,8,3,2,13,3,8,14,12,9,13,13,2,2,3,3,7,8,14,18,6,14,8,36,15,7,4,6,4,2,5,11,10,7,70,11,2,3,10,8,2,4,2,10,28,6,5,75,17,19,45,60,29,12,10,15,61,9,32,19,13,11,3,43,5,5,81,68,54,58,38,3,19,40,4,36,30,6,3,48,11,7,8,16,7,13,43,54,6,36,51,9,0.00263,0.00571,0.01449,2.03434,1.97649,1.99362,1.85383,1.8673
317,2010,7,WK_7,6,40,57,29,12,43,32,20,15,16,19,6,21,3,5,24,6,42,8,50,4,21,12,14,6,21,17,5,7,4,9,6,15,20,12,6,18,7,7,3,2,10,5,11,15,9,18,16,10,2,1,3,2,7,7,16,19,10,11,13,38,17,8,4,7,3,2,4,14,15,13,55,7,2,6,10,6,2,3,5,8,8,9,3,69,14,15,41,61,21,5,7,22,57,6,21,23,10,13,6,39,4,6,91,67,56,58,42,3,13,44,4,28,36,6,3,31,11,10,10,9,4,10,37,63,9,46,53,10,0.00262,0.00596,0.01483,1.97649,1.99362,1.85383,1.8673,1.69987
318,2010,8,WK_8,6,49,56,50,13,44,40,16,10,8,16,7,23,3,4,25,5,58,6,53,7,23,12,15,10,16,17,6,5,6,16,7,9,11,12,12,17,7,7,2,2,8,7,10,10,8,28,15,15,1,2,3,3,7,8,8,16,15,8,10,35,17,9,7,7,4,3,5,11,7,10,60,7,2,3,4,6,2,3,4,6,9,13,5,77,8,10,38,60,22,13,7,23,60,4,26,19,15,9,11,42,5,4,100,73,56,59,50,3,5,38,4,29,34,7,3,36,7,13,16,19,8,19,42,52,13,45,53,11,0.00275,0.00595,0.01428,1.99362,1.85383,1.8673,1.69987,1.49741
319,2010,9,WK_9,7,42,57,50,10,48,38,17,15,9,14,5,21,2,5,28,7,39,4,57,6,21,11,12,14,17,22,5,5,5,7,5,13,10,11,4,14,6,5,3,2,13,8,10,15,10,18,12,9,3,1,3,2,5,6,9,14,13,11,9,37,16,9,4,6,2,2,3,8,7,5,52,8,3,3,9,7,2,3,10,8,19,10,3,70,13,14,41,58,21,14,9,15,59,13,19,22,12,6,4,36,5,4,91,72,60,62,48,3,8,42,4,32,40,6,3,43,6,3,7,6,6,15,40,47,10,46,52,7,0.00287,0.00621,0.01476,1.85383,1.8673,1.69987,1.49741,1.45112
320,2010,10,WK_10,10,40,56,53,17,44,30,15,12,22,17,6,22,2,4,23,6,57,8,47,7,22,11,9,8,15,19,5,5,2,5,6,10,13,11,8,12,6,7,2,2,15,5,6,12,9,14,14,13,3,1,3,2,6,7,22,17,11,7,10,40,17,6,3,6,3,3,6,9,8,7,50,7,1,9,12,10,2,6,5,7,20,11,4,67,8,10,44,61,18,5,7,30,59,8,19,18,14,13,8,38,4,4,83,68,59,61,32,3,5,33,3,26,35,8,3,44,9,10,6,6,4,15,37,52,11,48,54,7,0.00278,0.0059,0.01401,1.8673,1.69987,1.49741,1.45112,1.20715
321,2010,11,WK_11,9,44,56,39,9,42,30,16,15,9,12,4,21,2,3,23,6,46,6,40,6,21,10,15,8,16,16,4,4,4,6,4,12,8,10,6,10,5,6,2,2,8,4,7,15,3,16,14,10,2,1,2,2,6,6,9,12,12,15,10,38,17,6,4,5,3,2,4,12,7,6,54,10,3,5,8,9,2,6,4,8,12,7,4,75,10,10,40,56,16,8,7,25,54,3,24,17,14,8,3,35,4,7,93,71,61,66,39,2,13,36,3,34,36,5,3,36,5,11,14,16,5,10,37,53,7,46,52,7,0.00269,0.00574,0.01346,1.69987,1.49741,1.45112,1.20715,1.17415
322,2010,12,WK_12,7,34,51,23,14,40,28,13,7,9,12,5,21,2,2,17,6,31,6,36,9,21,10,9,8,13,13,4,4,3,3,5,7,9,10,6,11,5,6,2,2,8,7,6,7,9,11,12,8,2,1,2,2,5,7,9,12,9,6,11,37,16,5,2,5,3,1,3,7,8,3,54,7,2,3,4,7,2,3,5,8,16,8,3,61,9,8,36,54,20,10,2,21,52,3,18,16,12,12,5,36,3,5,89,67,61,64,38,2,8,33,3,25,38,5,2,36,7,8,5,13,8,9,36,52,8,38,43,12,0.00201,0.00476,0.0121,1.49741,1.45112,1.20715,1.17415,1.16207
323,2010,13,WK_13,10,32,50,19,14,40,29,11,9,6,9,4,19,2,3,28,6,44,6,46,3,19,7,15,10,11,14,5,3,2,8,4,8,10,7,8,12,5,3,1,1,16,3,6,9,6,15,11,12,2,1,2,2,4,2,6,9,4,6,11,36,14,5,3,5,2,1,2,4,6,8,52,7,1,4,8,10,4,5,2,7,13,7,3,64,5,8,34,50,16,7,6,13,50,4,21,19,17,9,3,32,3,2,84,67,58,62,38,2,9,32,2,33,36,5,2,18,5,6,11,15,5,10,44,52,7,46,47,7,0.00152,0.00407,0.01104,1.45112,1.20715,1.17415,1.16207,1.17213
324,2010,14,WK_14,8,38,49,26,10,37,25,11,11,13,9,3,18,2,2,31,4,37,3,41,4,18,9,15,10,11,8,2,3,4,5,3,8,9,9,4,6,4,4,2,1,16,3,6,11,3,21,7,9,1,1,2,1,4,9,13,9,8,5,11,36,15,4,3,4,2,1,2,9,10,4,55,6,1,5,10,8,2,7,4,7,6,4,3,66,6,12,39,51,11,10,4,10,49,3,27,23,6,7,6,33,2,4,77,61,54,58,44,2,9,29,2,34,31,4,2,37,6,4,7,7,3,11,32,46,4,38,49,7,0.00124,0.00402,0.01037,1.20715,1.17415,1.16207,1.17213,1.12168
325,2010,15,WK_15,9,34,48,34,12,33,27,7,6,6,10,3,16,1,2,12,2,27,8,38,7,16,9,12,4,7,12,3,3,6,7,3,10,4,9,4,11,4,4,1,1,8,3,3,6,6,6,9,11,1,1,2,1,5,5,6,10,9,7,7,33,13,4,3,4,2,2,1,7,8,10,59,3,1,3,12,9,2,3,2,6,19,10,3,59,4,4,32,55,11,7,5,13,43,7,9,17,6,7,5,30,2,3,69,59,52,57,31,1,11,27,2,29,35,5,2,29,5,10,4,7,4,9,33,45,10,40,43,7,0.00093,0.00336,0.00958,1.17415,1.16207,1.17213,1.12168,1.14981
326,2010,16,WK_16,8,31,47,18,9,32,22,8,4,10,7,3,14,2,2,22,2,27,2,32,4,14,6,9,5,8,12,2,2,3,4,3,8,6,6,6,4,4,4,1,1,8,5,4,4,8,11,7,10,1,2,1,1,3,6,10,7,5,11,10,35,12,4,4,4,1,2,3,14,6,5,56,3,1,6,4,8,6,3,2,7,15,2,3,60,5,6,33,48,10,9,4,7,42,3,15,16,7,9,5,29,1,2,66,57,52,57,29,1,11,26,2,24,28,5,2,21,4,3,3,6,3,13,30,39,2,39,32,7,0.0007,0.00284,0.00886,1.16207,1.17213,1.12168,1.14981,1.13328
327,2010,17,WK_17,10,28,52,22,9,30,19,8,7,6,8,2,16,2,2,22,3,36,7,35,3,17,8,8,3,8,12,3,2,3,4,2,4,8,8,6,9,3,2,1,1,8,3,3,7,4,5,6,6,1,1,1,1,3,3,6,8,4,5,6,36,12,2,1,3,2,3,3,6,6,11,62,5,1,6,6,10,2,3,2,5,14,6,3,75,2,11,35,53,9,5,4,17,42,5,27,13,7,4,5,30,3,3,62,55,51,57,28,1,10,21,2,31,30,4,2,27,4,8,5,6,5,20,30,31,6,34,36,7,0.00067,0.00294,0.00872,1.17213,1.12168,1.14981,1.13328,1.08171
328,2010,18,WK_18,7,27,50,29,11,32,20,8,8,6,10,2,16,2,2,23,5,36,6,34,3,16,6,24,7,8,8,2,2,4,2,2,5,3,6,6,8,3,3,1,0,8,3,4,8,3,8,5,4,1,1,1,1,3,6,6,10,8,6,6,40,12,4,2,3,1,2,3,5,5,6,66,6,1,3,4,7,4,3,2,7,12,2,2,58,3,4,34,56,11,7,4,15,40,4,23,23,4,5,2,29,2,4,59,56,53,58,25,1,10,22,1,25,27,4,2,35,5,6,6,7,3,10,22,38,2,33,30,7,0.00061,0.00336,0.00947,1.12168,1.14981,1.13328,1.08171,1.19959
329,2010,19,WK_19,8,29,47,25,13,29,16,7,3,6,3,2,16,1,2,20,5,38,3,34,4,16,7,25,5,7,16,4,2,3,7,2,5,4,7,6,9,3,3,1,1,16,3,3,3,3,7,6,7,1,1,1,2,4,5,6,3,6,6,5,38,13,3,3,3,1,1,2,6,8,8,46,6,1,3,4,8,2,3,3,7,15,4,2,62,5,6,31,48,5,10,3,23,41,7,18,22,2,5,6,24,1,1,63,54,52,57,31,1,17,18,1,24,23,5,2,20,6,5,4,7,3,5,35,39,4,33,34,7,0.00046,0.00333,0.00946,1.14981,1.13328,1.08171,1.19959,0.952808
330,2010,20,WK_20,6,23,45,13,8,28,22,7,8,6,5,2,13,1,2,22,3,29,5,34,5,12,5,12,4,7,7,2,2,2,3,2,4,6,5,7,5,2,2,0,1,8,3,4,8,3,8,8,5,2,1,1,1,3,3,6,5,4,6,5,41,12,2,2,2,2,2,2,8,3,7,45,6,1,7,4,6,2,3,3,6,10,8,1,59,4,4,28,48,15,7,5,13,38,5,35,19,7,7,2,27,1,2,64,54,53,59,30,1,8,20,2,39,20,4,1,13,4,5,8,7,3,13,34,38,8,27,32,7,0.00055,0.00329,0.00949,1.13328,1.08171,1.19959,0.952808,0.916032
350,2010,40,WK_40,5,27,55,12,19,33,25,17,13,14,9,4,14,3,5,18,7,38,8,40,5,14,10,19,12,17,12,10,5,6,6,4,9,8,10,10,11,8,4,1,1,9,7,9,13,8,17,9,9,3,2,2,2,5,2,14,9,3,9,9,37,13,7,5,8,2,2,5,9,7,8,61,9,1,3,7,5,2,3,2,5,14,3,2,55,9,11,45,59,21,6,5,13,45,4,23,15,8,13,5,30,3,5,22,55,48,51,35,1,6,23,2,38,34,4,4,20,6,7,4,5,5,9,34,43,3,30,40,15,0.00049,0.00253,0.00812,1.13505,1.25256,1.2457,1.26774,1.43723
351,2010,41,WK_41,6,34,54,21,9,33,37,17,7,8,8,4,16,2,5,18,4,40,6,40,2,16,12,16,6,17,17,11,6,6,4,4,11,10,12,13,13,7,5,1,1,10,5,11,7,9,17,12,10,2,2,2,3,5,5,8,8,8,10,14,38,13,8,4,7,2,3,6,9,7,6,67,12,2,4,8,6,3,5,4,7,21,2,4,60,9,3,38,50,31,9,7,9,47,3,13,21,10,8,6,32,5,4,20,56,49,52,32,2,9,24,3,28,28,4,5,21,8,10,11,6,4,7,39,47,2,38,41,24,0.00065,0.00266,0.00836,1.25256,1.2457,1.26774,1.43723,1.53341
352,2010,42,WK_42,5,41,48,14,15,36,31,13,13,9,11,4,18,2,3,15,6,31,6,40,3,18,12,21,13,13,17,11,7,8,2,4,11,4,12,9,13,7,5,1,1,10,4,11,13,8,14,12,8,2,2,2,3,3,2,9,11,12,9,16,30,12,8,4,7,2,3,5,7,5,5,59,11,1,3,3,5,2,5,4,5,11,3,4,57,10,14,33,54,30,9,6,11,49,7,24,17,12,10,4,33,4,5,19,55,49,53,32,2,7,27,3,34,33,4,5,33,4,7,7,13,4,7,28,42,3,43,41,9,0.0006,0.00288,0.00842,1.2457,1.26774,1.43723,1.53341,1.69445
353,2010,43,WK_43,5,40,52,34,13,39,31,18,18,18,10,5,17,3,3,21,8,37,7,54,6,17,12,14,6,18,15,10,5,7,3,5,9,7,12,7,16,8,4,1,1,9,6,12,18,3,11,11,17,1,2,2,3,4,4,18,10,20,14,6,36,15,8,6,8,2,3,6,14,7,5,62,12,1,12,3,5,2,4,2,8,15,3,4,56,11,5,41,59,33,5,9,17,50,4,17,18,10,7,4,41,4,6,20,56,52,56,35,2,8,28,4,28,30,6,5,31,6,7,6,5,4,8,44,39,3,41,47,8,0.0007,0.00302,0.00898,1.26774,1.43723,1.53341,1.69445,1.9915
