"Week","a.influenza","acute.bronchitis","body.temperature","braun.thermoscan","break.a.fever","bronchitis","chest.cold","cold.and.flu","cold.or.flu","cold.versus.flu","cold.vs.flu","contagious.flu","cough.fever","cure.flu","cure.the.flu","dangerous.fever","do.i.have.the.flu","ear.thermometer","early.flu.symptoms","expectorant","exposed.to.flu","fever.cough","fever.flu","fever.reducer","fight.the.flu","flu.and.cold","flu.and.fever","flu.care","flu.children","flu.complications","flu.contagious.period","flu.contagious","flu.cough","flu.duration","flu.fever","flu.germs","flu.headache","flu.how.long","flu.in.children","flu.incubation.period","flu.incubation","flu.lasts","flu.length","flu.medicine","flu.or.cold","flu.recovery","flu.relief","flu.remedies","flu.remedy","flu.report","flu.reports","flu.symptoms","flu.test","flu.treatment","flu.treatments","flu.versus.cold","flu.vs.cold","get.over.the.flu","get.rid.of.the.flu","having.the.flu","high.fever","how.long.contagious","how.long.does.flu.last","how.long.does.the.flu.last","how.long.flu","how.long.is.flu.contagious","how.long.is.the.flu.contagious","how.long.is.the.flu","how.to.get.rid.of.the.flu","how.to.treat.flu","how.to.treat.the.flu","human.temperature","i.have.the.flu","incubation.period.for.flu","incubation.period.for.the.flu","influenza.a.and.b","influenza.a","influenza.contagious","influenza.incubation.period","influenza.incubation","influenza.symptoms","influenza.treatment","influenza.type.a","is.flu.contagious","low.body","medicine.for.flu","medicine.for.the.flu","normal.body.temperature","normal.body","oscillococcinum","over.the.counter.flu.medicine","over.the.counter.flu","painful.cough","pneumonia","rapid.flu","reduce.a.fever","reduce.fever","remedies.for.flu","remedies.for.the.flu","respiratory.flu","robitussin","signs.of.flu","signs.of.the.flu","sinus.infections","sinus","strep.throat","strep","symptoms.of.bronchitis","symptoms.of.flu","symptoms.of.influenza","symptoms.of.pneumonia","symptoms.of.the.flu","taking.temperature","tessalon","the.flu.virus","the.flu","thermoscan","treat.flu","treat.the.flu","treating.flu","treating.the.flu","treatment.for.flu","treatment.for.the.flu","tussin","tussionex","type.a.influenza","upper.respiratory","walking.pneumonia","what.to.do.if.you.have.the.flu"
"2004-08-28",3,16,49,23,11,15,16,5,7,0,5,1,11,2,0,20,0,15,16,31,0,11,2,14,20,5,9,3,3,10,0,1,4,10,2,22,12,1,2,1,1,0,0,4,7,19,0,9,14,3,0,1,0,3,0,0,5,0,0,15,26,2,3,0,1,0,0,5,0,0,0,19,5,0,0,23,3,0,0,0,3,38,0,0,47,0,0,32,35,8,27,11,0,26,15,27,11,11,0,10,12,2,6,22,43,30,37,20,1,12,7,1,16,23,2,1,25,5,0,15,36,5,0,34,20,0,20,21,0
"2004-09-04",2,17,43,24,10,19,9,8,7,0,5,1,5,2,0,25,0,38,16,19,0,5,5,14,20,8,18,6,2,10,0,1,4,10,5,22,12,1,2,1,1,0,0,5,7,19,0,16,14,3,0,1,0,3,0,0,5,0,0,15,30,1,3,0,1,0,0,5,0,0,0,38,5,0,0,23,2,0,0,0,3,29,0,0,53,0,0,15,32,8,27,11,0,29,15,27,10,11,0,10,20,3,5,17,46,30,38,18,1,12,12,2,21,26,2,1,19,5,0,15,36,5,0,34,17,0,25,22,0
"2004-09-11",3,18,51,24,10,16,13,7,9,36,5,2,7,3,0,30,0,31,10,28,0,7,5,14,20,7,9,5,1,13,0,2,4,10,5,22,16,1,2,1,1,0,0,6,9,0,0,5,13,3,0,0,0,1,0,36,5,0,0,15,22,2,3,0,1,0,6,5,0,0,0,49,5,0,0,23,3,0,18,0,4,29,0,0,41,0,0,29,42,8,27,12,0,29,14,27,11,11,26,10,26,2,5,28,42,30,39,18,0,12,12,1,32,11,2,1,32,5,0,18,33,5,0,56,28,0,15,24,0
"2004-09-18",2,11,50,34,10,21,15,6,6,32,10,1,7,1,0,18,0,28,10,28,0,7,2,19,18,6,8,6,2,16,0,1,6,17,2,20,7,1,2,1,1,0,0,3,6,0,0,4,13,3,4,1,0,1,12,32,10,0,0,14,31,2,2,0,1,0,0,4,0,0,0,59,5,0,0,20,2,0,26,0,6,18,13,0,57,0,0,26,36,8,25,10,0,27,14,27,14,15,31,9,29,2,5,20,46,33,42,17,1,11,9,1,29,30,4,1,43,5,0,21,33,5,0,35,18,13,24,34,0
"2004-09-25",3,18,52,43,10,19,20,6,6,33,5,1,9,2,6,19,8,56,10,28,0,9,7,19,18,6,13,8,4,19,0,1,6,23,7,20,7,1,4,1,1,0,14,8,6,0,29,13,13,6,4,1,2,2,14,33,5,0,0,14,23,2,2,0,1,0,0,4,0,9,0,57,9,3,17,20,3,0,34,0,4,18,14,0,45,0,0,29,37,8,25,11,0,30,14,41,15,20,36,9,19,3,5,27,47,32,40,25,0,21,8,1,20,27,10,1,58,5,0,24,33,5,27,20,23,14,31,22,0
"2004-10-02",2,32,45,32,10,24,15,7,12,34,10,1,14,2,6,18,9,32,10,33,0,14,6,12,18,7,8,3,4,19,0,1,4,11,6,20,9,1,3,1,1,82,14,7,12,0,28,6,25,4,4,1,2,2,16,35,10,0,0,14,20,3,3,0,1,0,0,4,16,9,17,50,5,3,16,20,2,10,20,0,11,26,14,2,66,9,0,29,38,22,25,10,0,34,14,27,19,10,24,9,26,3,5,25,53,40,42,14,0,10,15,1,24,12,3,2,51,5,0,27,33,4,27,19,27,14,12,42,0
"2004-10-09",2,37,52,21,10,21,12,15,6,36,15,3,8,1,6,18,9,28,20,28,0,8,9,13,18,15,8,19,11,19,0,3,8,11,9,20,11,2,7,1,1,41,27,16,6,0,38,10,17,4,4,1,4,3,18,37,15,19,13,14,24,3,4,3,2,0,0,4,16,9,18,38,5,3,16,21,2,11,20,0,7,52,15,2,61,9,20,29,32,7,25,10,0,37,14,27,14,14,26,9,25,3,5,22,49,34,42,14,1,10,12,2,24,22,5,3,23,7,13,25,37,9,27,31,39,15,34,32,0
"2004-10-16",5,19,49,26,10,25,23,21,17,38,8,3,8,3,15,45,10,39,12,62,0,8,5,12,22,21,10,27,12,11,0,3,10,11,5,24,24,3,4,1,2,48,16,15,18,21,34,29,46,7,5,2,3,4,28,39,8,45,15,66,17,6,3,3,3,4,0,10,20,11,20,42,11,3,16,22,5,12,20,15,12,35,16,3,48,32,24,22,46,39,30,25,48,43,13,25,12,18,29,21,26,2,6,30,48,40,47,11,1,19,14,2,26,24,6,6,49,6,30,25,40,5,33,28,33,16,22,33,0
"2004-10-23",5,21,42,21,10,28,10,22,22,42,12,3,13,4,12,18,9,45,11,45,0,13,7,12,35,22,8,34,14,18,34,3,8,15,7,33,7,3,3,3,2,46,26,13,22,17,41,21,49,8,4,2,2,8,23,42,12,18,14,17,23,4,2,3,3,3,0,5,18,10,19,63,5,3,16,23,5,17,16,12,16,62,15,3,58,9,22,32,39,32,23,20,50,43,13,25,15,9,34,9,32,3,7,24,48,37,46,20,1,34,14,3,24,20,7,7,50,10,18,33,82,12,26,30,43,15,26,40,0
"2004-10-30",8,32,48,48,18,25,22,11,21,44,8,2,4,2,7,20,9,47,11,31,0,4,10,56,40,11,9,22,8,10,13,2,4,10,10,36,11,4,4,2,1,46,26,14,21,19,32,19,33,6,9,2,5,5,31,44,8,18,14,15,20,3,3,3,4,4,0,5,18,10,19,92,5,3,0,23,8,22,19,21,17,65,15,2,52,10,22,28,36,31,23,23,53,47,30,25,18,14,40,10,38,3,5,28,45,37,47,21,1,23,15,4,38,29,2,5,48,9,21,30,37,8,30,43,41,15,39,36,42
"2004-11-06",3,27,49,20,9,27,18,12,24,46,9,2,7,4,6,17,9,53,19,27,0,7,8,23,17,12,8,14,8,12,13,2,9,17,8,39,21,2,3,3,1,60,26,6,24,22,27,8,24,4,8,2,3,5,30,46,9,18,18,15,19,4,2,3,2,4,0,4,32,15,16,61,6,3,0,20,3,14,16,12,7,22,12,2,51,17,22,32,33,52,23,20,55,40,19,25,15,12,22,8,25,3,5,23,48,40,48,20,1,25,18,3,28,20,5,4,55,5,12,32,63,4,25,44,37,12,34,38,0
